HELLO control
[Input] Received TrqBreCmd with throttle: 0, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
[Input] Received TrqBreCmd with throttle: 5.4, brake: 0
